"ruido","algoritmo","preproc","iteracion","rmse","mae","r2"
0,"RF","regAENN",2,0.209289181633172,0.150394921441774,0.983699216339802
0,"RF","regAENN",3,0.220996245417246,0.154489378270237,0.982028405486789
0,"RF","regAENN",4,0.230382551268829,0.157198441058787,0.97995249547479
0,"RF","regAENN",5,0.212879291766586,0.153741242312423,0.982879569942961
0,"RF","regAENN",6,0.21978759345358,0.153245781779009,0.981709498679253
0,"RF","regAENN",7,0.23345108754535,0.162902694085028,0.979909417470541
0,"RF","regAENN",8,0.213383580977458,0.153108981823783,0.982743590327632
0,"RF","regAENN",9,0.21223475784305,0.153144826260763,0.983045865638145
0,"RF","regAENN",10,0.217265635723781,0.153707862419206,0.982783646401794
0,"RF","regAENN",11,0.205582200585843,0.148492561614294,0.983932382659932
0,"RF","regAENN",12,0.223231794465678,0.157672572396796,0.981390001534349
0,"RF","regAENN",13,0.220665882528259,0.154618641120345,0.981612395431086
0,"RF","regAENN",14,0.216608396307398,0.15087075422427,0.982820252929841
0,"RF","regAENN",15,0.224722389324602,0.160972318237831,0.981314193333703
0,"RF","regAENN",16,0.210011183364655,0.150876848093481,0.983482234473729
0,"RF","regAENN",17,0.214625687101656,0.152009090489381,0.983215737307786
0,"RF","regAENN",18,0.222692241578298,0.154864893813481,0.981408340770783
0,"RF","regAENN",19,0.219782898629285,0.155519231361676,0.981836684487701
0,"RF","regAENN",20,0.221408041597451,0.157034212877388,0.981497306862132
0,"RF","regAENN",21,0.21452497585792,0.152876105976586,0.982614402381275
0,"RF","regAENN",22,0.214905127903076,0.150190435921134,0.982398317055499
0,"RF","regAENN",23,0.214948847003608,0.157291937519237,0.98305146392287
0,"RF","regAENN",24,0.225343081037763,0.158156506765068,0.981083661034898
0,"RF","regAENN",25,0.225933684150932,0.158022220683287,0.981157755741138
0,"SVM","regAENN",1,0.196553991564766,0.134408899641643,0.985646619316668
0,"SVM","regAENN",2,0.181171081139081,0.132926262790987,0.987785022369303
0,"SVM","regAENN",3,0.184950134838427,0.132711698651914,0.987412887175362
0,"SVM","regAENN",4,0.187790541555782,0.130376409238992,0.98667986635724
0,"SVM","regAENN",5,0.187656598543587,0.133693018666493,0.986696205847349
0,"SVM","regAENN",6,0.185460400895713,0.133538114177398,0.986976681853956
0,"SVM","regAENN",7,0.184658038547518,0.130775347578315,0.987429945440225
0,"SVM","regAENN",8,0.182597854454047,0.131844689577285,0.98736370417019
0,"SVM","regAENN",9,0.188390129748311,0.135364732397769,0.986641463210391
0,"SVM","regAENN",10,0.191792432880175,0.132387564848275,0.98658403152988
0,"SVM","regAENN",11,0.180121608172989,0.128311797942262,0.987665768630873
0,"SVM","regAENN",12,0.188697424257185,0.132745099431854,0.986702616912522
0,"SVM","regAENN",13,0.188144813251046,0.132976826495597,0.986632836099836
